"","Word","Length","SUBTLWF","POS","Mean_RT"
"71","bygones",7,3.41,"NN",982.91
"72","grunting",8,5.08,"VB",695.76
"73","citadel",7,0.45,"NN",760.91
"74","Florence",8,5.37,"NN",736.11
"75","oboe",4,0.35,"NN",855.71
"76","glockenspiel",12,0.18,"NN",964
"77","commentator",11,2.73,"NN",881.94
"78","acquiesced",10,0.1,"VB",934.5
"79","greenish",8,0.16,"JJ",701.84
"80","Connie",6,15.8,"NN",665.58
"81","papoose",7,0.22,"NN",855
"82","unrevealing",11,0.02,"JJ",923.48
"83","tabernacle",10,0.71,"NN",808.77
"84","flora",5,2.24,"NN",851.62
"85","Morse",5,2.76,"NN",812.84
"86","physiological",13,0.63,"JJ",1045.36
"87","unwed",5,0.53,"JJ",860.26
"88","crabapple",9,0.37,"NN",996.24
"89","sympathized",11,0.04,"VB",797.31
"90","baritone",8,0.41,"NN",807.74
"91","rookies",7,1.18,"NN",706.41
"92","juniper",7,0.47,"NN",763.04
"93","Jehovah",7,0.78,"NN",747.19
"94","lazybones",9,0.16,"NN",788.94
"95","disgusted",9,1.76,"VB",681.24
"96","anthology",9,0.27,"NN",813.57
"97","brother",7,283.94,"NN",614.06
"98","FALSE",5,21.14,"JJ",718.06
"99","alienation",10,0.43,"NN",784.06
"100","omnipotent",10,0.37,"JJ",951.78
"101","plucky",6,0.39,"JJ",829.69
"102","orangutan",9,0.57,"NN",1070.07
"103","knew",4,368.96,"VB",597.74
"104","judgeship",9,0.2,"NN",909.58
"105","regretted",9,1.39,"VB",712.23
"106","absentee",8,0.35,"JJ",886.79
"107","accumulating",12,0.35,"VB",776.41
"108","fortification",13,0.1,"NN",805.32
"109","premiere",8,3.71,"NN",712.23
"110","predicament",11,1.96,"NN",933.48
"111","seaborne",8,0.14,"JJ",848.55
"112","fungicides",10,0.02,"NN",1236.82
"113","organizers",10,0.39,"NN",669.19
"114","puppy",5,11.45,"NN",600.48
"115","reopening",9,0.67,"VB",716.11
"116","hiked",5,0.37,"VB",598.06
"117","gyrations",9,0.06,"NN",1125.91
"118","receives",8,1.55,"VB",664.13
"119","receipts",8,3.45,"NN",743.91
"120","vice",4,18.63,"NN",673.66
"121","leaden",6,0.1,"JJ",870.06
"122","Clair",5,0.92,"NN",740.46
"123","flunk",5,1.8,"VB",674.87
"124","yesteryear",10,0.18,"NN",859.35
"125","torpedo",7,6.39,"NN",805.55
"126","played",6,56.27,"VB",580.85
"127","desensitization",15,0.06,"NN",1092.9
"128","mornings",8,3.29,"NN",666.67
"129","outstanding",11,7.45,"JJ",653.09
"130","penniless",9,1.24,"JJ",734.43
"131","disk",4,6.63,"NN",577.24
"132","wooded",6,0.33,"JJ",754.97
"133","gunpowder",9,1.67,"NN",846.47
"134","chalky",6,0.12,"JJ",774.29
"135","effected",8,0.35,"VB",719.78
"136","graceless",9,0.12,"JJ",754.52
"137","legacies",8,0.12,"NN",871.77
"138","rug",3,10.41,"NN",604.72
"139","inhaler",7,1.18,"NN",780.48
"140","packhorse",9,0.02,"NN",913.72
"141","noontime",8,0.16,"NN",812.11
"142","grated",6,0.16,"VB",760.56
"143","rehearse",8,4.51,"VB",751.71
"144","corroborated",12,0.31,"VB",917.29
"145","viciousness",11,0.12,"NN",813.1
"146","inheritance",11,3.18,"NN",883.1
"147","copied",6,2.51,"VB",642.52
"148","tons",4,9.41,"NN",645.06
"149","nutritious",10,0.88,"JJ",813.27
"150","flapped",7,0.12,"VB",646.86
"151","grassland",9,0.1,"NN",700.06
"152","acrobats",8,0.37,"NN",715.18
"153","coerced",7,0.84,"VB",940.64
"154","soundness",9,0.04,"NN",762.6
"155","jargon",6,0.61,"NN",686.7
"156","Gertrude",8,2.76,"NN",809.52
"157","unimpressed",11,0.31,"JJ",965.8
"158","leaded",6,0.45,"JJ",628.7
"159","weekends",8,7.39,"NN",658.94
"160","lacy",4,0.63,"JJ",784.72
"161","zooms",5,0.06,"VB",666.93
"162","vigil",5,0.86,"NN",723.04
"163","imitators",9,0.24,"NN",1002.77
"164","crawled",7,3.96,"VB",654.09
"165","preceded",8,0.59,"VB",757.24
"166","flatulent",9,0.22,"JJ",955.33
"167","specifications",14,0.82,"NN",894.78
"168","lyrical",7,0.51,"JJ",749.39
"169","hospitals",9,6.18,"NN",657.75
"170","freights",8,0.06,"NN",882.67
"171","celebration",11,9.88,"NN",713.91
"172","Yorkshire",9,1,"NN",749.27
"173","overexpose",10,0.02,"VB",850.58
"174","pinstripe",9,0.2,"NN",832.36
"175","felicity",8,16.8,"NN",758.94
"176","finished",8,83.71,"VB",639.76
"177","sophomore",9,2.86,"NN",684.53
"178","pugnacity",9,0.02,"NN",1030.06
"179","Martha",6,28.65,"NN",641.42
"180","desegregate",11,0.02,"VB",1151.65
"181","herringbone",11,0.08,"NN",820.53
"182","anniversary",11,18.41,"NN",847.18
"183","supplier",8,1.94,"NN",746.85
"184","interpolations",14,0.02,"NN",1158.06
"185","sighted",7,2.12,"VB",758.33
"186","gardenia",8,0.22,"NN",764.46
"187","commiserate",11,0.18,"VB",959.09
"188","predilections",13,0.14,"NN",1096
"189","supplements",11,0.45,"NN",686.21
"190","persuade",8,6.39,"VB",658.44
"191","ethical",7,2.73,"JJ",714.77
"192","choreographer",13,1.04,"NN",885.64
"193","lemur",5,0.18,"NN",795.44
"194","baroque",7,0.31,"JJ",785.84
"195","waned",5,0.12,"VB",793.96
"196","meteorite",9,0.8,"NN",829.06
"197","catharsis",9,0.33,"NN",894.58
"198","dominion",8,1.14,"NN",759.85
"199","revivals",8,0.1,"NN",826.52
"200","princess",8,39.59,"NN",674.94
"201","fertilizers",11,0.2,"NN",721.78
"202","malformations",13,0.02,"NN",1040.08
"203","server",6,3.92,"NN",679.19
"204","outbreaks",9,0.14,"NN",659
"205","ignominious",11,0.14,"JJ",925.27
"206","backboard",9,0.47,"NN",766.47
"207","institutionalization",20,0.02,"NN",1075.07
"208","cubicle",7,2.57,"NN",722.97
"209","crossover",9,0.39,"NN",648.36
"210","prepares",8,0.88,"VB",705.32
"211","Oldsmobile",10,0.31,"NN",770.23
"212","smelling",8,4.96,"VB",667.79
"213","children",8,175.1,"NN",636.58
"214","lusty",5,0.61,"JJ",616.16
"215","liberty",7,16.65,"NN",625.03
"216","raindrops",9,0.75,"NN",705.56
"217","robin",5,24.94,"NN",630.27
"218","removable",9,0.12,"JJ",682.73
"219","predicate",9,0.02,"NN",905.32
"220","illicit",7,0.71,"JJ",730.37
"221","maneuverability",15,0.12,"NN",1066.31
"222","analysed",8,0.45,"VB",758.83
"223","demeans",7,0.12,"VB",865
"224","hurtful",7,1.14,"JJ",731.28
"225","pillaged",8,0.2,"VB",836.47
"226","casebook",8,0.04,"NN",714.67
"227","mausoleum",9,0.84,"NN",988.25
"228","lifeguard",9,1.67,"NN",621.88
"229","invasions",9,0.18,"NN",723.3
"230","teller",6,2.57,"NN",617.79
"231","childishness",12,0.16,"NN",905.46
"232","revenues",8,0.47,"NN",775.03
"233","Webster",7,6.31,"NN",678.56
"234","waver",5,0.43,"VB",715.2
"235","princes",7,2.06,"NN",730.93
"236","teletype",8,0.65,"NN",1013.69
"237","embedded",8,1.73,"VB",801.55
"238","barrette",8,0.16,"NN",705.65
"239","silica",6,0.2,"NN",882.7
"240","discrimination",14,2.18,"NN",799.19
"241","suitor",6,1.35,"NN",737.44
"242","leaping",7,1.57,"VB",648.76
"243","cholera",7,1.1,"NN",792.42
"244","chandelier",10,1.41,"NN",1043.77
"245","evaluations",11,0.67,"NN",895
"246","lover",5,26.63,"NN",592.35
"247","footprint",9,1.08,"NN",630.67
"248","craftsmen",9,0.43,"NN",729.63
"249","widespread",10,0.92,"JJ",770.88
"250","boneless",8,0.29,"JJ",671.91
"251","abortions",9,0.69,"NN",774.63
"252","stringy",7,0.41,"JJ",957.85
"253","yachtsmen",9,0.04,"NN",1002.11
"254","basket",6,13.18,"NN",649.88
"255","doctorate",9,0.9,"NN",876.07
"256","erudition",9,0.06,"NN",1156.25
"257","country",7,161.84,"NN",633.18
"258","convention",10,12.33,"NN",678.52
"259","dolphin",7,2.76,"NN",683.29
"260","privilege",9,10.63,"NN",746.06
"261","protects",8,2.82,"VB",629.16
"262","tourist",7,4.65,"NN",612.16
"263","infuse",6,0.18,"VB",715.03
"264","buttocks",8,1.82,"NN",707.41
"265","playboy",7,4.24,"NN",653.97
"266","stave",5,0.33,"VB",814.75
"267","womankind",9,0.18,"NN",900.56
"268","regularity",10,0.31,"NN",793.39
"269","wheezy",6,0.27,"JJ",685.9
"270","incarcerate",11,0.2,"VB",905.26
"271","voracious",9,0.33,"JJ",1004.43
"272","quotable",8,0.1,"JJ",814.31
"273","snout",5,0.84,"NN",701.56
"274","detoured",8,0.06,"VB",874.21
"275","wistful",7,0.18,"JJ",727.13
"276","overfill",8,0.02,"VB",718.47
"277","accomplice",10,4.24,"NN",784.33
"278","Mongolia",8,0.55,"NN",700.68
"279","Argonauts",9,0.18,"NN",1069
"280","telephoning",11,0.43,"VB",972.1
"281","pare",4,0.12,"VB",748.56
"282","Christopher",11,18.16,"NN",669.94
"283","braves",6,0.63,"NN",582
"284","ask",3,483.14,"VB",552
"285","sneezing",8,1.1,"VB",703.97
"286","jurors",6,2.49,"NN",791.11
"287","unsuitable",10,0.47,"JJ",743.06
"288","dissipated",10,0.35,"VB",860.31
"289","coals",5,0.94,"NN",687.61
"290","supernormal",11,0.02,"JJ",999.38
"291","pterodactyl",11,0.39,"NN",976.08
"292","grandparents",12,4.2,"NN",724.97
"293","chronological",13,0.33,"JJ",867.13
"294","duplicity",9,0.22,"NN",724.34
"295","chipmunk",8,0.82,"NN",686.75
"296","tortoises",9,0.18,"NN",764.25
"297","rigmarole",9,0.12,"NN",815
"298","dagger",6,4.92,"NN",651.67
"299","retracted",9,0.27,"VB",780.41
"300","shots",5,28.37,"NN",673.82
"301","astral",6,0.96,"JJ",738.73
"302","infidels",8,0.43,"NN",870.14
"303","cablegram",9,0.2,"NN",1118.22
"304","oracle",6,2.24,"NN",809.48
"305","feathers",8,5.71,"NN",677.62
"306","Guinness",8,1.12,"NN",846.26
"307","wishing",7,6.65,"VB",645.39
"308","behavioral",10,1.55,"JJ",764.72
"309","appreciates",11,3.12,"VB",842.23
"310","scrutinizing",12,0.1,"VB",841.13
"311","housebroken",11,0.57,"JJ",762.58
"312","dissent",7,0.59,"NN",765.57
"313","gator",5,3.61,"NN",640.19
"314","underprivileged",15,0.73,"JJ",1010.66
"315","banging",7,8.55,"VB",753.13
"316","outsider",8,2.37,"NN",626.43
"317","synthesis",9,0.29,"NN",755.57
"318","fraternity",10,3.35,"NN",727.15
"319","Norma",5,4.04,"NN",780.22
"320","piglet",6,2.12,"NN",747.97
"321","negotiation",11,2.29,"NN",828.27
"322","drab",4,0.8,"JJ",729.62
"323","confided",8,0.84,"VB",776.33
"324","Rosa",4,5.06,"NN",686.35
"325","dissension",10,0.27,"NN",829.86
"326","rodeos",6,0.22,"NN",759.63
"327","moody",5,2.25,"JJ",590.65
"328","scanned",7,1.55,"VB",698.59
"329","meritorious",11,0.25,"JJ",1072.13
"330","invincible",10,3.02,"JJ",793.44
"331","interdepartmental",17,0.04,"JJ",1324.57
"332","transplantation",15,0.16,"NN",975.07
"333","confiscated",11,2.06,"VB",944.15
"334","biographical",12,0.24,"JJ",733.56
"335","additives",9,0.2,"NN",782.39
"336","seducer",7,0.39,"NN",775
"337","lugged",6,0.18,"VB",726.89
"338","recruited",9,2.73,"VB",726.72
"339","oilcan",6,0.12,"NN",883.38
"340","supercritical",13,0.04,"JJ",1013.39
"341","glider",6,0.69,"NN",804.59
"342","grandfather",11,24.33,"NN",710.97
"343","concessionaires",15,0.02,"NN",1241.08
"344","misuse",6,0.55,"NN",828.81
"345","Dave",4,43.12,"NN",564.09
"346","distortion",10,1.18,"NN",757.52
"347","narrowness",10,0.02,"NN",825.06
"348","proclivity",10,0.24,"NN",1015.68
"349","premarital",10,0.65,"JJ",931.22
"350","catnip",6,0.41,"NN",814.74
"351","pesticides",10,0.57,"NN",773.71
"352","felonious",9,0.27,"JJ",786.33
"353","hearer",6,0.04,"NN",749.59
"354","brasserie",9,0.1,"NN",991.76
"355","banished",8,1.96,"VB",690.73
"356","flirtation",10,0.71,"NN",833.16
"357","prognostic",10,0.02,"JJ",846.64
"358","tacky",5,2.63,"JJ",674.09
"359","untouchable",11,0.86,"JJ",806.56
"360","depress",7,0.71,"VB",759.31
"361","mutinous",8,0.14,"JJ",859.2
"362","teacher",7,55.73,"NN",570.58
"363","subtraction",11,0.2,"NN",807.33
"364","differentiating",15,0.1,"VB",1074.9
"365","witches",7,10.45,"NN",609.56
"366","spittoon",8,0.41,"NN",761.33
"367","procurement",11,0.25,"NN",1034.38
"368","write",5,126.8,"VB",608
"369","gristmill",9,0.04,"NN",791.29
"370","spud",4,0.92,"NN",815.2
"371","environmental",13,3.27,"JJ",855.67
"372","claiming",8,4.16,"VB",670.97
"373","motioning",9,0.04,"VB",780.45
"374","locksmith",9,1.02,"NN",626.18
"375","pennant",7,0.75,"NN",752.63
"376","replaced",8,8.25,"VB",629.64
"377","inclement",9,0.16,"JJ",740.25
"378","infusion",8,0.35,"NN",695.48
"379","reopened",8,0.88,"VB",768.94
"380","boulder",7,2.08,"NN",710.79
"381","engraved",8,1.67,"VB",683.56
"382","slipcover",9,0.04,"NN",792.91
"383","deltas",6,0.12,"NN",818.67
"384","bratwurst",9,0.47,"NN",821.52
"385","compiler",8,0.14,"NN",893.12
"386","dotty",5,1.12,"JJ",754.13
"387","lotion",6,3.25,"NN",633.34
"388","latitudes",9,0.12,"NN",699.88
"389","meteor",6,3.53,"NN",788.75
"390","recommends",10,0.55,"VB",846.66
"391","overdone",8,0.63,"VB",711.74
"392","propagandist",12,0.08,"NN",1170.88
"393","expires",7,1.1,"VB",687.27
"394","begonia",7,0.08,"NN",844.11
"395","groceries",9,5.9,"NN",735.76
"396","soreness",8,0.1,"NN",741.94
"397","shown",5,14.18,"VB",590.86
"398","postponement",12,0.51,"NN",991.83
"399","affects",7,4.78,"VB",656.67
"400","obstetrician",12,0.25,"NN",928.04
"401","oblivious",9,1.06,"JJ",805.32
"402","continue",8,49.55,"VB",624.18
"403","slay",4,2.14,"VB",684.43
"404","taunted",7,0.24,"VB",650.37
"405","concurred",9,0.14,"VB",797.82
"406","assignment",10,17.88,"NN",679.9
"407","errs",4,0.06,"VB",648.92
"408","reached",7,24.73,"VB",574.48
"409","hunted",6,3.88,"VB",696.53
"410","fragrant",8,0.71,"JJ",681.94
"411","archenemy",9,0.25,"NN",1188.91
"412","humanity",8,9.71,"NN",657.94
"413","scripture",9,1.35,"NN",705.48
"414","ventriloquist",13,0.96,"NN",1050.47
"415","preserver",9,0.27,"NN",776.16
"416","civilization",12,8.33,"NN",688.39
"417","evolve",6,1.63,"VB",712.78
"418","ailment",7,0.51,"NN",841.62
"419","moth",4,2.27,"NN",679.4
"420","boardinghouse",13,0.12,"NN",1070.1
"421","enrolled",8,1.12,"VB",645.82
"422","playful",7,1.16,"JJ",630.22
"423","Knoxville",9,0.55,"NN",768.47
"424","strait",6,0.18,"NN",627.07
"425","solarium",8,0.43,"NN",906.2
"426","semiprecious",12,0.06,"JJ",1093.23
"427","hatband",7,0.02,"NN",851.29
"428","redefinition",12,0.04,"NN",1122.24
"429","shrubs",6,0.31,"NN",724.38
"430","amenable",8,0.18,"JJ",994.22
"431","lightness",9,0.39,"NN",678.56
"432","cynics",6,0.24,"NN",741.92
"433","ample",5,1.82,"JJ",695.28
"434","duped",5,0.78,"VB",688.1
"435","wrappers",8,0.57,"NN",677.67
"436","corduroy",8,0.67,"NN",910.42
"437","evasion",7,1.16,"NN",802.48
"438","guises",6,0.06,"NN",737
"439","inviolability",13,0.04,"NN",1003.45
"440","taught",6,43.84,"VB",627.81
"441","sentinels",9,0.31,"NN",863.73
"442","wound",5,26.53,"VB",575.94
"443","elitist",7,0.45,"JJ",905.17
"444","braver",6,1.14,"JJ",666.19
"445","overheat",8,0.35,"VB",776.68
"446","mother",6,479.92,"NN",566.21
"447","streamlined",11,0.37,"JJ",780.97
"448","deflation",9,0.06,"NN",801.03
"449","furthermost",11,0.04,"JJ",849.68
"450","crackpot",8,0.96,"NN",678.59
"451","capacity",8,8.1,"NN",649.7
"452","interfering",11,3.06,"VB",1100.8
"453","uselessness",11,0.1,"NN",949.62
"454","imposition",10,0.76,"NN",861.72
"455","unappreciated",13,0.47,"JJ",863.1
"456","Britain",7,4.55,"NN",718.24
"457","unfolded",8,0.29,"VB",685.55
"458","pluralism",9,0.02,"NN",755.76
"459","desolate",8,0.98,"JJ",801.06
"460","loneliness",10,5,"NN",679.41
"461","damsel",6,0.88,"NN",771.25
"462","proletarian",11,0.16,"JJ",980.53
"463","mapped",6,0.9,"VB",847.03
"464","relocation",10,0.76,"NN",730.65
"465","malady",6,0.43,"NN",771.4
"466","distrustful",11,0.1,"JJ",767.18
"467","Monterey",8,1,"NN",862.23
"468","rightful",8,2.33,"JJ",761.24
"469","specialization",14,0.06,"NN",771.61
"470","knuckle",7,1.29,"NN",707.84
"471","Colombia",8,1.96,"NN",734.11
"472","coercive",8,0.14,"JJ",823.82
"473","overcrowd",9,0.02,"VB",782.52
"474","oafs",4,0.08,"NN",845.35
"475","productivity",12,0.57,"NN",728.42
"476","midpoint",8,0.04,"NN",724.85
"477","thorn",5,5.1,"NN",726.56
"478","cutlets",7,0.39,"NN",861.41
"479","remembrance",11,0.73,"NN",822.32
"480","finder",6,1.67,"NN",652.19
"481","evolution",9,5.33,"NN",708.88
"482","consciences",11,0.24,"NN",852.59
"483","throbbing",9,1.18,"VB",709.97
"484","copier",6,0.63,"NN",638.03
"485","Antarctica",10,1.04,"NN",856.31
"486","Salvador",8,2.02,"NN",819.72
"487","sardines",8,3.18,"NN",878.05
"488","heroism",7,1.1,"NN",755.82
"489","explosives",10,6.49,"NN",777.63
"490","opossum",7,0.08,"NN",785.1
"491","swirled",7,0.1,"VB",702.16
"492","traveling",9,14.2,"VB",646.03
"493","telescope",9,2.94,"NN",707.35
"494","psychologist",12,3.59,"NN",812.53
"495","protester",9,0.2,"NN",805.09
"496","kitchen",7,58.31,"NN",545.76
"497","arena",5,3.63,"NN",721.41
"498","whippet",7,0.1,"NN",1209.67
"499","Carl",4,27.27,"NN",575.09
"500","amaze",5,1.61,"VB",596.32
"501","pod",3,8,"NN",679.62
"502","hunk",4,5.16,"NN",613.19
"503","debark",6,0.06,"VB",957.06
"504","auspices",8,0.12,"NN",874.86
"505","legitimized",11,0.06,"VB",841.69
"506","entombed",8,0.27,"VB",968.74
"507","grumbled",8,0.04,"VB",672.42
"508","discretionary",13,0.41,"JJ",939.13
"509","transcended",11,0.18,"VB",852.13
"510","receiver",8,2.96,"NN",742.73
"511","departures",10,0.31,"NN",687.19
"512","radicalize",10,0.02,"VB",927.5
"513","unabated",8,0.18,"JJ",1094.15
"514","speakers",8,1.96,"NN",653.71
"515","survived",8,12.94,"VB",674.97
"516","Matthew",7,15.49,"NN",666.89
"517","barbed",6,1.31,"JJ",857.11
"518","criminology",11,0.29,"NN",979.48
"519","manger",6,1,"NN",799.69
"520","Manitoba",8,0.06,"NN",758.59
"521","discouraging",12,0.8,"VB",845.09
"522","governance",10,0.1,"NN",805.42
"523","basset",6,0.25,"NN",868.41
"524","whimsical",9,0.78,"JJ",802.87
"525","shirtsleeve",11,0.02,"NN",980.91
"526","vacancies",9,0.75,"NN",906.89
"527","escapee",7,0.22,"NN",862.48
"528","surfboard",9,0.92,"NN",768.63
"529","recessive",9,0.08,"JJ",661.29
"530","tamper",6,0.49,"VB",701.79
"531","indent",6,0.12,"NN",853.55
"532","sorghum",7,0.16,"NN",843.6
"533","symposium",9,0.69,"NN",834.86
"534","wreckage",8,2.08,"NN",788.82
"535","Coventry",8,0.61,"NN",1000.83
"536","traditional",11,8.14,"JJ",663.79
"537","haystack",8,1.37,"NN",822.71
"538","slipping",8,5.94,"VB",662.15
"539","ambiance",8,0.16,"NN",891.65
"540","nudity",6,1.75,"NN",755.81
"541","flaring",7,0.31,"VB",749.21
"542","clannish",8,0.1,"JJ",969.73
"543","consummation",12,0.2,"NN",960.65
"544","higher",6,27.84,"JJ",598.48
"545","rely",4,7.18,"VB",684.4
"546","multiplies",10,0.22,"VB",806.18
"547","resembling",10,0.59,"VB",809.42
"548","countries",9,10.53,"NN",760.44
"549","irritate",8,0.94,"VB",752.39
"550","truthfulness",12,0.18,"NN",795.79
"551","dalliance",9,0.22,"NN",767
"552","industrious",11,0.33,"JJ",996.03
"553","fineness",8,0.02,"NN",1041.91
"554","grocers",7,0.14,"NN",760.74
"555","fanatical",9,0.53,"JJ",859.33
"556","boatload",8,0.47,"NN",821.96
"557","eulogize",8,0.08,"VB",866.29
"558","purist",6,0.22,"NN",759.77
"559","taskmaster",10,0.16,"NN",806.73
"560","inscription",11,1.71,"NN",806
"561","protest",7,8.78,"NN",583.29
"562","strategist",10,0.41,"NN",809.76
"563","Marie",5,26.43,"NN",683.53
"564","chaplains",9,0.18,"NN",860.33
"565","exports",7,0.51,"NN",681.5
"566","payoff",6,2.22,"NN",738.14
"567","toga",4,0.92,"NN",696.43
"568","headroom",8,0.06,"NN",827.55
"569","conduct",7,11.1,"VB",630.94
"570","invocation",10,0.06,"NN",896.11
"571","mailed",6,2.08,"VB",709.88
"572","toothbrush",10,5,"NN",622.69
"573","moralize",8,0.02,"VB",736.45
"574","recondition",11,0.02,"VB",913.61
"575","remorseless",11,0.1,"JJ",941.26
"576","homegrown",9,0.14,"NN",752.44
"577","swindled",8,0.61,"VB",752.09
"578","steeples",8,0.1,"NN",743.43
"579","spooky",6,4.73,"JJ",610.42
"580","idols",5,0.47,"NN",807.83
"581","pallid",6,0.16,"JJ",852.82
"582","Dodger",6,1.27,"NN",756.41
"583","procreation",11,0.41,"NN",1046.72
"584","debris",6,3.12,"NN",688.79
"585","reverberation",13,0.08,"NN",1027.21
"586","referring",9,6.73,"VB",704.57
"587","parochial",9,0.33,"JJ",892.33
"588","watchers",8,0.98,"NN",641.31
"589","biscuit",7,3.75,"NN",623.88
"590","ancestral",9,0.57,"JJ",816.73
"591","arose",5,0.82,"VB",635.91
"592","predictions",11,0.82,"NN",764.56
"593","bulldozer",9,1.29,"NN",672.94
"594","conduit",7,1.04,"NN",757.64
"595","slowed",6,2.27,"VB",653.13
"596","parakeets",9,0.12,"NN",790.21
"597","tailspin",8,0.22,"NN",837.82
"598","nihilism",8,0.08,"NN",763.5
"599","fury",4,3.82,"NN",685.06
"600","waxen",5,0.12,"JJ",690.35
"601","frigidity",9,0.06,"NN",868.27
"602","gobbler",7,0.31,"NN",776.15
"603","briefcase",9,8.59,"NN",646.61
"604","culvert",7,0.37,"NN",760.18
"605","esquire",7,0.98,"NN",840.14
"606","raider",6,0.65,"NN",722.06
"607","interminable",12,0.31,"JJ",1138.82
"608","bursar",6,0.16,"NN",772.9
"609","subscriber",10,0.41,"NN",767.35
"610","thumbtack",9,0.18,"NN",873.39
"611","idleness",8,0.16,"NN",860.79
"612","horsefly",8,0.1,"NN",870.19
"613","turkey",6,22.61,"NN",583.62
"614","sociological",12,0.27,"JJ",1065.68
"615","caustic",7,0.14,"JJ",740.1
"616","appraisers",10,0.08,"NN",788.31
"617","posse",5,4.33,"NN",779.71
"618","declined",8,1.57,"VB",666.06
"619","inefficient",11,0.41,"JJ",767.67
"620","abutment",8,0.12,"NN",1089.5
"621","gift",4,64.51,"NN",640.82
"622","romp",4,0.53,"NN",774.36
"623","admire",6,14.16,"VB",621.03
"624","godchild",8,0.04,"NN",877.8
"625","closest",7,8.96,"JJ",820.44
"626","align",5,0.67,"VB",673.96
"627","violin",6,4.75,"NN",706.9
"628","called",6,340.02,"VB",555.76
"629","apologies",9,8.8,"NN",761.41
"630","detonating",10,0.41,"VB",1022.92
"631","lamp",4,12.88,"NN",587.85
"632","preceding",9,0.67,"VB",729.97
"633","postcards",9,2.08,"NN",600
"634","fielders",8,0.06,"NN",860.18
"635","microseconds",12,0.04,"NN",866.37
"636","squelch",7,0.24,"VB",826.68
"637","acquit",6,0.47,"VB",832.44
"638","readings",8,2.76,"NN",648.74
"639","shakedown",9,0.9,"NN",754.97
"640","eagle",5,11.49,"NN",630.79
"641","drunk",5,76.55,"JJ",588.94
"642","export",6,1.27,"NN",590.03
"643","isothermal",10,0.02,"JJ",1137.28
"644","surfer",6,1.63,"NN",771.24
"645","abrupt",6,1.14,"JJ",690.97
"646","pillows",7,3.16,"NN",656.58
"647","underweight",11,0.22,"JJ",762.36
"648","magnet",6,2.75,"NN",638.82
"649","nitrate",7,1.08,"NN",919.73
"650","adulterous",10,0.33,"JJ",933.2
