"","X","Word","Length","Log_Freq_HAL","I_Mean_RT"
"79",40182,"wormhole",8,7.601,952.692
"80",38614,"vacancy",7,5.951,660.545
"81",34989,"sunbonnet",9,2.197,988.667
"82",19799,"kicks",5,8.567,538.118
"83",28685,"rated",5,9.12,649.441
"84",13853,"flexed",6,5.969,669.103
"85",5946,"chorus",6,8.697,671.531
"86",5069,"capsize",7,3.555,852.367
"87",11654,"elongation",10,5.817,849.6
"88",35740,"taxing",6,7.2,574.219
"89",33669,"spirituality",12,7.48,774.273
"90",27919,"protons",7,6.344,779.179
"91",38339,"unsheathe",9,1.386,950.5
"92",5579,"chameleon",9,7.559,861.071
"93",9097,"decor",5,6.351,739.778
"94",23114,"mules",5,5.986,672.065
"95",32924,"sluggish",8,6.752,639.441
"96",33530,"speared",7,4.025,625.138
"97",11910,"endeavor",8,7.769,706.452
"98",38622,"vaccinate",9,6.111,879.719
"99",39479,"wavelengths",11,6.542,722.935
"100",5964,"Christine's",11,4.111,782.29
"101",5655,"charity",7,8.836,620.912
"102",17149,"horrifying",10,6.463,677.545
"103",17079,"hoof",4,6.061,783.12
"104",50,"abnormal",8,7.698,684.909
"105",20588,"lifters",7,5.394,716.143
"106",33253,"sole",4,8.945,616.788
"107",2058,"assessor's",10,1.946,915.294
"108",32233,"shortest",8,7.296,686.194
"109",2019,"assailing",9,3.332,885.111
"110",27587,"probabilities",13,7.173,789.485
"111",20920,"lollipop",8,5.687,767.655
"112",32145,"shipper",7,6.449,679.939
"113",26160,"phlegm",6,5.03,815.95
"114",34974,"summers",7,7.766,631.914
"115",4600,"burdensome",10,5.724,813.935
"116",11659,"eloquent",8,6.788,749.571
"117",486,"admiring",8,6.433,659.226
"118",26650,"pliable",7,5.727,920.4
"119",14249,"form",4,11.681,603.882
"120",34356,"stones",6,9.21,605.324
"121",14868,"gamecock",8,3.296,922.667
"122",4885,"calorie",7,6.12,665.471
"123",34288,"stimuli",7,6.501,740.903
"124",13211,"fashionable",11,6.833,749.121
"125",35289,"sway",4,7.291,676
"126",10260,"discussion",10,11.475,716.182
"127",17896,"improvements",12,8.865,785.909
"128",1131,"ambled",6,3.932,792.909
"129",4398,"bruised",7,6.571,739.212
"130",37699,"uncomfortable",13,8.623,787.844
"131",31958,"shaky",5,7.008,738.312
"132",16620,"hellish",7,5.971,808.464
"133",36445,"Tijuana",7,5.866,985.136
"134",6216,"clattering",10,3.584,715.154
"135",32969,"smell",5,9.179,623.97
"136",6617,"collaboration",13,8.045,809.5
"137",33965,"stairwell",9,5.075,608.742
"138",35728,"tawny",5,4.852,817.684
"139",15412,"Goethe",6,6.372,847.667
"140",16056,"habits",6,8.385,623.647
"141",16069,"haddock",7,5.215,814.312
"142",30683,"ruining",7,7.08,703.107
"143",40326,"Yankee",6,7.441,567.515
"144",6415,"clueless",8,8.565,619.848
"145",32901,"slouch",6,5.273,711.469
"146",8423,"crossbow",8,6.436,683.9
"147",19454,"Jess's",6,3.401,798.857
"148",37281,"truest",6,5.628,879.9
"149",33625,"spice",5,7.848,591.091
"150",6280,"cleverness",10,5.525,692.941
"151",17303,"hum",3,7.955,726
"152",11756,"emigrate",8,5.79,870.5
"153",32790,"slave",5,9.484,608.25
"154",13466,"fiction",7,9.863,627
"155",29659,"replenished",11,5.278,834.091
"156",6788,"commendation",12,5.024,796.821
"157",15448,"goods",5,9.414,623.406
"158",15234,"glaciers",8,6.575,720.344
"159",26574,"Plato",5,7.549,626.353
"160",21035,"Louisa",6,5.489,841.125
"161",18915,"interpretations",15,8.168,962.3
"162",34157,"steelworker",11,2.89,775.176
"163",14492,"freethinkers",12,4.828,943
"164",13335,"fee",3,10.21,633.742
"165",7207,"conferring",10,4.984,721.276
"166",29230,"refugee",7,7.687,668.875
"167",18902,"interplay",9,7.399,759.265
"168",9328,"delouse",7,1.099,879.364
"169",15265,"glaucoma",8,5.961,848.346
"170",4755,"byword",6,3.258,853.895
"171",12250,"equilibriums",12,1.946,955.821
"172",17040,"homosexuality",13,8.69,801.818
"173",6851,"commonwealth",12,7.751,759.303
"174",23392,"nation's",8,8.426,667.242
"175",38408,"untouched",9,7.088,726.152
"176",9969,"digestive",9,6.986,787.152
"177",32358,"Siberia",7,6.888,690.156
"178",33985,"stallholder",11,1.099,949.857
"179",29911,"rest",4,11.272,574.485
"180",21108,"luckily",7,8.128,687.219
"181",31949,"shaker",6,6.073,654.172
"182",7959,"cosmetics",9,6.702,692.559
"183",6924,"compensation",12,9.442,778.781
"184",37976,"unfixed",7,4.317,721.788
"185",9451,"densities",9,6.297,949.15
"186",30785,"sachet",6,3.045,796.038
"187",12980,"exuberant",9,4.852,783.815
"188",21261,"madman",6,7.194,793.758
"189",11809,"employer",8,10.231,620.906
"190",33680,"splash",6,7.641,612.625
"191",37297,"truss",5,5.864,901.833
"192",1917,"artful",6,5.509,765.935
"193",17399,"hurts",5,8.618,574.324
"194",18465,"inherently",10,8.245,840.407
"195",32478,"silica",6,6.118,882.7
"196",7071,"conceivably",11,6.858,818.75
"197",25898,"perfumed",8,4.796,743.969
"198",17916,"impurities",10,6.146,780.345
"199",21412,"malice",6,7.134,682.469
"200",29788,"reseat",6,4.443,889.615
