"","Aux","Country","Causation","EPTrans","EPTrans1"
"251","laten","BE","Inducive","Tr","Tr"
"252","doen","BE","Inducive","Intr","Intr"
"253","laten","BE","Inducive","Tr","Tr"
"254","doen","BE","Physical","Intr","Intr"
"255","laten","NL","Volitional","Tr","Tr"
"256","laten","BE","Inducive","Intr","Intr"
"257","laten","NL","Volitional","Intr","Intr"
"258","laten","NL","Volitional","Intr","Intr"
"259","laten","NL","Inducive","Tr","Tr"
"260","laten","BE","Inducive","Tr","Tr"
"261","laten","NL","Inducive","Tr","Tr"
"262","laten","NL","Inducive","Tr","Tr"
"263","doen","BE","Inducive","Tr","Tr"
"264","doen","NL","Inducive","Tr","Tr"
"265","laten","NL","Volitional","Intr","Intr"
"266","laten","BE","Affective","Tr","Tr"
"267","laten","BE","Volitional","Intr","Intr"
"268","doen","BE","Physical","Intr","Intr"
"269","laten","NL","Affective","Intr","Intr"
"270","doen","NL","Affective","Intr","Intr"
"271","laten","BE","Inducive","Tr","Tr"
"272","doen","NL","Affective","Intr","Intr"
"273","laten","NL","Volitional","Intr","Intr"
"274","laten","NL","Inducive","Tr","Tr"
"275","laten","NL","Inducive","Tr","Tr"
"276","laten","BE","Inducive","Tr","Tr"
"277","laten","BE","Inducive","Intr","Intr"
"278","laten","NL","Inducive","Tr","Tr"
"279","laten","NL","Inducive","Tr","Tr"
"280","laten","NL","Volitional","Intr","Intr"
"281","laten","NL","Volitional","Intr","Intr"
"282","laten","BE","Inducive","Tr","Tr"
"283","doen","NL","Physical","Intr","Intr"
"284","doen","BE","Inducive","Intr","Intr"
"285","laten","NL","Volitional","Intr","Intr"
"286","laten","BE","Inducive","Tr","Tr"
"287","laten","NL","Volitional","Intr","Intr"
"288","laten","BE","Inducive","Tr","Tr"
"289","laten","BE","Inducive","Tr","Tr"
"290","doen","NL","Affective","Tr","Tr"
"291","laten","BE","Volitional","Intr","Intr"
"292","doen","NL","Volitional","Intr","Intr"
"293","laten","NL","Inducive","Tr","Tr"
"294","laten","NL","Inducive","Tr","Tr"
"295","laten","NL","Inducive","Tr","Tr"
"296","laten","NL","Inducive","Tr","Tr"
"297","laten","NL","Volitional","Intr","Intr"
"298","laten","NL","Inducive","Tr","Tr"
"299","laten","NL","Volitional","Tr","Tr"
"300","laten","NL","Inducive","Tr","Tr"
"301","laten","NL","Inducive","Tr","Tr"
"302","doen","BE","Volitional","Intr","Intr"
"303","laten","BE","Volitional","Intr","Intr"
"304","laten","NL","Volitional","Intr","Intr"
"305","doen","BE","Affective","Intr","Intr"
"306","laten","NL","Inducive","Intr","Intr"
"307","laten","BE","Inducive","Intr","Intr"
"308","doen","BE","Volitional","Intr","Intr"
"309","laten","BE","Volitional","Intr","Intr"
"310","laten","BE","Inducive","Tr","Tr"
"311","laten","BE","Inducive","Tr","Tr"
"312","doen","BE","Affective","Intr","Intr"
"313","doen","BE","Affective","Intr","Intr"
"314","laten","BE","Volitional","Tr","Tr"
"315","laten","BE","Inducive","Tr","Tr"
"316","doen","BE","Physical","Intr","Intr"
"317","doen","BE","Affective","Tr","Tr"
"318","doen","NL","Physical","Intr","Intr"
"319","laten","NL","Volitional","Tr","Tr"
"320","laten","NL","Volitional","Tr","Tr"
"321","laten","NL","Volitional","Tr","Tr"
"322","laten","BE","Inducive","Intr","Intr"
"323","laten","NL","Inducive","Tr","Tr"
"324","laten","NL","Inducive","Tr","Tr"
"325","laten","BE","Volitional","Intr","Intr"
"326","doen","NL","Physical","Intr","Intr"
"327","laten","NL","Inducive","Tr","Tr"
"328","doen","BE","Physical","Intr","Intr"
"329","laten","NL","Volitional","Intr","Intr"
"330","laten","NL","Inducive","Tr","Tr"
"331","laten","NL","Inducive","Tr","Tr"
"332","laten","NL","Volitional","Intr","Intr"
"333","doen","BE","Inducive","Intr","Intr"
"334","doen","BE","Physical","Intr","Intr"
"335","doen","BE","Affective","Intr","Intr"
"336","laten","NL","Inducive","Tr","Tr"
"337","laten","NL","Inducive","Intr","Intr"
"338","doen","NL","Affective","Tr","Tr"
"339","laten","NL","Affective","Intr","Intr"
"340","laten","NL","Inducive","Tr","Tr"
"341","laten","NL","Volitional","Tr","Tr"
"342","laten","BE","Inducive","Tr","Tr"
"343","doen","BE","Affective","Tr","Tr"
"344","doen","BE","Inducive","Tr","Tr"
"345","laten","NL","Inducive","Intr","Intr"
"346","doen","NL","Inducive","Intr","Intr"
"347","laten","NL","Inducive","Tr","Tr"
"348","laten","BE","Volitional","Intr","Intr"
"349","laten","BE","Inducive","Tr","Tr"
"350","doen","NL","Affective","Tr","Tr"
"351","doen","BE","Inducive","Intr","Intr"
"352","laten","NL","Inducive","Tr","Tr"
"353","laten","NL","Inducive","Tr","Tr"
"354","laten","BE","Inducive","Tr","Tr"
"355","doen","BE","Inducive","Intr","Intr"
"356","doen","BE","Volitional","Tr","Tr"
"357","doen","BE","Volitional","Intr","Intr"
"358","doen","NL","Volitional","Tr","Tr"
"359","laten","BE","Volitional","Intr","Intr"
"360","laten","BE","Inducive","Intr","Intr"
"361","laten","NL","Inducive","Tr","Tr"
"362","laten","BE","Inducive","Tr","Tr"
"363","laten","NL","Volitional","Intr","Intr"
"364","doen","NL","Volitional","Intr","Intr"
"365","laten","BE","Inducive","Intr","Intr"
"366","laten","BE","Inducive","Tr","Tr"
"367","doen","BE","Affective","Intr","Intr"
"368","laten","NL","Inducive","Tr","Tr"
"369","laten","NL","Affective","Tr","Tr"
"370","laten","NL","Inducive","Intr","Intr"
"371","laten","BE","Volitional","Intr","Intr"
"372","laten","NL","Volitional","Intr","Intr"
"373","laten","NL","Inducive","Intr","Intr"
"374","laten","BE","Inducive","Tr","Tr"
"375","laten","NL","Volitional","Intr","Intr"
"376","laten","NL","Inducive","Tr","Tr"
"377","laten","NL","Inducive","Tr","Tr"
"378","laten","BE","Inducive","Tr","Tr"
"379","doen","NL","Inducive","Intr","Intr"
"380","laten","NL","Inducive","Intr","Intr"
"381","laten","NL","Physical","Intr","Intr"
"382","laten","NL","Volitional","Intr","Intr"
"383","doen","BE","Physical","Intr","Intr"
"384","laten","BE","Inducive","Tr","Tr"
"385","laten","NL","Inducive","Intr","Intr"
"386","laten","BE","Inducive","Tr","Tr"
"387","laten","NL","Inducive","Intr","Intr"
"388","doen","NL","Affective","Intr","Intr"
"389","laten","BE","Volitional","Intr","Intr"
"390","laten","NL","Inducive","Tr","Tr"
"391","laten","BE","Volitional","Intr","Intr"
"392","laten","BE","Inducive","Tr","Tr"
"393","doen","BE","Affective","Intr","Intr"
"394","laten","BE","Volitional","Tr","Tr"
"395","doen","NL","Volitional","Intr","Intr"
"396","doen","NL","Physical","Intr","Tr"
"397","laten","NL","Volitional","Intr","Tr"
"398","laten","NL","Volitional","Intr","Intr"
"399","laten","BE","Volitional","Intr","Intr"
"400","laten","NL","Inducive","Intr","Intr"
"401","laten","BE","Volitional","Intr","Intr"
"402","doen","BE","Inducive","Tr","Tr"
"403","laten","NL","Inducive","Tr","Tr"
"404","laten","NL","Volitional","Intr","Intr"
"405","doen","NL","Inducive","Intr","Intr"
"406","doen","BE","Physical","Intr","Intr"
"407","laten","BE","Inducive","Intr","Intr"
"408","laten","BE","Inducive","Intr","Intr"
"409","laten","NL","Volitional","Intr","Intr"
"410","doen","NL","Affective","Intr","Intr"
"411","laten","BE","Volitional","Intr","Intr"
"412","laten","NL","Inducive","Intr","Intr"
"413","doen","BE","Affective","Intr","Intr"
"414","laten","BE","Volitional","Intr","Intr"
"415","laten","BE","Physical","Intr","Intr"
"416","laten","NL","Volitional","Intr","Intr"
"417","laten","NL","Inducive","Intr","Intr"
"418","laten","NL","Volitional","Intr","Intr"
"419","laten","NL","Volitional","Intr","Intr"
"420","doen","BE","Affective","Intr","Intr"
"421","laten","NL","Volitional","Intr","Intr"
"422","laten","BE","Volitional","Intr","Intr"
"423","doen","NL","Affective","Intr","Intr"
"424","laten","NL","Inducive","Tr","Tr"
"425","laten","BE","Inducive","Tr","Tr"
"426","doen","BE","Affective","Intr","Intr"
"427","laten","NL","Inducive","Tr","Tr"
"428","laten","NL","Volitional","Intr","Intr"
"429","laten","NL","Inducive","Tr","Tr"
"430","laten","NL","Inducive","Tr","Tr"
"431","doen","BE","Affective","Tr","Tr"
"432","doen","NL","Physical","Intr","Intr"
"433","doen","NL","Physical","Intr","Intr"
"434","doen","NL","Physical","Intr","Intr"
"435","laten","BE","Inducive","Intr","Intr"
"436","laten","BE","Inducive","Tr","Tr"
"437","laten","BE","Volitional","Intr","Intr"
"438","laten","BE","Inducive","Intr","Intr"
"439","laten","BE","Inducive","Intr","Intr"
"440","laten","NL","Volitional","Intr","Intr"
"441","laten","BE","Inducive","Tr","Tr"
"442","doen","BE","Affective","Tr","Tr"
"443","doen","BE","Affective","Intr","Intr"
"444","laten","NL","Inducive","Intr","Intr"
"445","doen","NL","Affective","Intr","Intr"
"446","laten","NL","Inducive","Tr","Tr"
"447","laten","NL","Inducive","Tr","Tr"
"448","laten","BE","Volitional","Intr","Intr"
"449","doen","BE","Physical","Intr","Intr"
"450","laten","NL","Inducive","Tr","Tr"
"451","laten","NL","Volitional","Intr","Tr"
"452","doen","BE","Volitional","Tr","Tr"
"453","doen","BE","Physical","Intr","Intr"
"454","laten","NL","Inducive","Tr","Tr"
"455","laten","NL","Inducive","Tr","Tr"
